Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
3600000,0.11604703,1.0,0.7367166,0.05322394,0.00042698122,0.09614592,3.035414e-05,0.020685308,0.026924422,0.7980443803948395,42.395161290322584,0.7984207306177385,0.009609118943767352
3610000,0.11484543,1.0,0.75867593,0.05101576,0.0014903804,0.100355886,2.9583034e-05,0.014081667,0.024013737,0.8418689810898411,36.60687022900763,0.8417010514335778,0.005061973669239185
3620000,0.12684672,1.0,0.75899804,0.055674914,0.002188424,0.09907862,2.8880642e-05,0.014458507,0.025509374,0.8209025895814053,38.003846153846155,0.8206974689777081,0.005039121962349432
3630000,0.10928744,1.0,0.7575367,0.05483724,0.00074089796,0.09070701,2.8184466e-05,0.012094471,0.023635615,0.8505694150547805,36.34241245136187,0.8506472451677582,0.0034416374457811624
3640000,0.1127985,1.0,0.7539196,0.059932966,0.00026658052,0.098689094,2.741199e-05,0.0118626505,0.029336875,0.8264483455694894,39.48449612403101,0.8266277866372802,0.005811714341208078
3650000,0.108289964,1.0,0.76650846,0.06951151,8.5922075e-05,0.09899671,2.6634527e-05,0.01259991,0.033407416,0.8475875077248191,37.12643678160919,0.8473613553374778,0.004008306863092114
3660000,0.11171702,1.0,0.7700482,0.07926527,6.713362e-05,0.10032426,2.585933e-05,0.009992029,0.025620764,0.8496419070842486,36.57620817843866,0.8499014073989811,0.003143425314505811
3670000,0.11041502,1.0,0.7611467,0.088560425,0.00040684905,0.097227715,2.5084864e-05,0.013930204,0.029267484,0.8435560133530089,37.10546875,0.8435465456672417,0.003914548447599288
3680000,0.10418158,1.0,0.7657607,0.09120975,7.3346615e-05,0.10103949,2.4311357e-05,0.013611155,0.027773675,0.8422916911358973,37.43939393939394,0.8420543274418875,0.0052943297249095685
3690000,0.10777995,1.0,0.76595086,0.09177834,0.0005438998,0.10046658,2.3618384e-05,0.0093952725,0.021060796,0.8482980040417081,36.91287878787879,0.8486010439016602,0.003407658044483414
3700000,0.10877109,1.0,0.766088,0.08207399,0.0030435883,0.09073286,2.29271e-05,0.011687739,0.024719777,0.8278402245083775,36.41947565543071,0.8276654526535492,0.00377656882611358
3710000,0.11616848,1.0,0.76119477,0.07662421,0.00084841216,0.09553746,2.2151076e-05,0.014791961,0.024521908,0.8330985074404232,36.92045454545455,0.833229828738805,0.00471205309595186
3720000,0.10874049,1.0,0.76119924,0.07120521,0.0009618715,0.0972773,2.1381813e-05,0.010765265,0.023207303,0.8335328525934143,36.84090909090909,0.833593467871348,0.003872993789572678
3730000,0.108570844,1.0,0.7625611,0.072403945,0.0013355364,0.098383136,2.060977e-05,0.0137207415,0.02572385,0.8474562977345044,37.125475285171106,0.8471272592326157,0.005152695817172612
3740000,0.11277615,1.0,0.76303446,0.07056437,0.00019784606,0.09687553,1.9835828e-05,0.009151207,0.019999657,0.8497883635661618,36.543726235741445,0.8499049757370024,0.00277177276737818
3750000,0.111031145,1.0,0.7439942,0.07349558,0.0005192787,0.094340816,1.9068157e-05,0.022258703,0.026630213,0.8274928359999595,38.19607843137255,0.8273516688861099,0.009186076486538
3760000,0.10535653,1.0,0.75964427,0.06922801,0.0015180388,0.09714504,1.838048e-05,0.011590367,0.0287748,0.8308448078331203,37.465648854961835,0.8308758271057796,0.004185555379938674
3770000,0.101228036,1.0,0.768515,0.068329856,6.4115935e-05,0.09659483,1.7686209e-05,0.00823677,0.02823388,0.8484293168488269,36.90530303030303,0.8487121571194042,0.002873299517060249
3780000,0.1025012,1.0,0.7668176,0.06632933,0.00020288015,0.09700433,1.6913053e-05,0.009063812,0.02469866,0.849350900980959,36.67293233082707,0.8493759737427073,0.0029567219478890466
3790000,0.09966915,1.0,0.76909727,0.062007546,0.0012857683,0.09462388,1.6138492e-05,0.012555322,0.020899279,0.8428839183646195,36.40449438202247,0.8427640789010552,0.0034429438613627233
3800000,0.10266545,1.0,0.76668376,0.060394336,0.00061475614,0.09070934,1.5361715e-05,0.015215429,0.020843323,0.8426791735949197,36.46816479400749,0.8428689466880055,0.0037568440161164056
3810000,0.10791984,1.0,0.7641766,0.058224585,0.0006827844,0.098699145,1.4589245e-05,0.009714941,0.019822137,0.8420203026603666,36.58174904942966,0.8419493375622275,0.0033615680801869856
